,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
0,Macro,1000,32,6,1,83.2727279663086,388.7272644042969,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
1,Macro,1000,32,6,1,83.5,388.5,5.0,5.0,90.0,1.0
2,Macro,1000,32,6,1,29.0,299.5,5.0,4.0,90.0,1.25
3,Macro,1000,32,6,1,211.0,292.0,4.0,4.0,90.0,1.0
4,Macro,1000,32,6,1,354.7272644042969,286.7272644042969,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
5,Macro,1000,32,6,1,354.5,286.5,5.0,5.0,90.0,1.0
6,Macro,1000,32,6,1,52.0,226.0,4.0,4.0,90.0,1.0
7,Macro,1000,32,6,12,81.0,409.0,6.0,2.0,90.0,3.0
8,Macro,1000,32,6,12,194.21127319335938,408.7323913574219,7.073129177093506,4.900335788726807,80.78252410888672,1.4433968368790557
9,Macro,1000,32,6,12,194.0,408.5,6.0,3.0,90.0,2.0
10,Macro,1000,32,6,12,177.9623565673828,409.49554443359375,15.022360801696777,6.043393611907959,171.82533264160156,2.48574919430973
11,Macro,1000,32,6,12,178.0,407.5,6.0,5.0,90.0,1.2
12,Macro,1000,32,6,12,253.5,406.0,5.0,4.0,90.0,1.25
13,Macro,1000,32,6,12,128.0,404.5,5.0,4.0,90.0,1.25
14,Macro,1000,32,6,12,407.0,401.5,5.0,4.0,90.0,1.25
15,Macro,1000,32,6,12,394.5,397.0,5.0,4.0,90.0,1.25
16,Macro,1000,32,6,12,284.7272644042969,397.2727355957031,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
17,Macro,1000,32,6,12,284.5,397.5,5.0,5.0,90.0,1.0
18,Macro,1000,32,6,12,369.54681396484375,397.4442443847656,15.528800010681152,5.835536003112793,106.71053314208984,2.6610751784236744
19,Macro,1000,32,6,12,369.0,397.5,10.0,7.0,90.0,1.4285714285714286
20,Macro,1000,32,6,12,316.356689453125,399.4364013671875,15.766213417053223,8.114683151245117,164.81158447265625,1.9429240949024675
21,Macro,1000,32,6,12,316.0,399.5,11.0,8.0,90.0,1.375
22,Macro,1000,32,6,12,393.0,388.5,5.0,4.0,90.0,1.25
23,Macro,1000,32,6,12,334.5726318359375,388.7999572753906,13.830262184143066,6.422102451324463,96.34642028808594,2.153541194486983
24,Macro,1000,32,6,12,333.5,389.0,7.0,6.0,90.0,1.1666666666666667
25,Macro,1000,32,6,12,403.0,384.0,4.0,4.0,90.0,1.0
26,Macro,1000,32,6,12,16.0,381.5,5.0,4.0,90.0,1.25
27,Macro,1000,32,6,12,392.4515380859375,378.2516784667969,9.820969581604004,6.898103713989258,101.94231414794922,1.4237201974344362
28,Macro,1000,32,6,12,393.0,378.0,6.0,6.0,90.0,1.0
