,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,kernel,AR
0,Macro,2000,32,6,9,141.0,259.0,4.0,4.0,90.0,"(1, 1)",1.0
1,Macro,2000,32,6,9,133.95083618164062,215.6235809326172,12.491557121276855,5.052822113037109,99.70488739013672,"(1, 1)",2.4721941207957014
2,Macro,2000,32,6,9,134.0,215.5,8.0,5.0,90.0,"(1, 1)",1.6
3,Macro,2000,32,6,9,1.0,143.0,4.0,2.0,90.0,"(1, 1)",2.0
4,Macro,2000,32,6,9,1.0,1.0,2.0,2.0,90.0,"(1, 1)",1.0
5,Macro,2000,32,6,9,188.0,409.0,4.0,2.0,90.0,"(3, 3)",2.0
6,Macro,2000,32,6,9,165.78872680664062,408.7323913574219,7.073129177093506,4.900335788726807,99.21747589111328,"(3, 3)",1.4433968368790557
7,Macro,2000,32,6,9,166.0,408.5,6.0,3.0,90.0,"(3, 3)",2.0
8,Macro,2000,32,6,9,82.0,408.5,4.0,3.0,90.0,"(3, 3)",1.3333333333333333
9,Macro,2000,32,6,9,32.0,408.0,4.0,4.0,90.0,"(3, 3)",1.0
10,Macro,2000,32,6,9,355.2418518066406,406.5241394042969,9.102737426757812,5.949645042419434,169.3226776123047,"(3, 3)",1.5299631090355212
11,Macro,2000,32,6,9,355.5,406.0,6.0,5.0,90.0,"(3, 3)",1.2
12,Macro,2000,32,6,9,47.0,402.0,4.0,4.0,90.0,"(3, 3)",1.0
13,Macro,2000,32,6,9,86.0,400.5,9.0,4.0,90.0,"(3, 3)",2.25
14,Macro,2000,32,6,9,23.272727966308594,398.2727355957031,7.106690406799316,6.428243637084961,45.0,"(3, 3)",1.1055415457187017
15,Macro,2000,32,6,9,23.5,398.5,5.0,5.0,90.0,"(3, 3)",1.0
16,Macro,2000,32,6,9,182.0,396.5,5.0,4.0,90.0,"(3, 3)",1.25
17,Macro,2000,32,6,9,77.0,396.0,4.0,4.0,90.0,"(3, 3)",1.0
18,Macro,2000,32,6,9,171.0,395.0,4.0,4.0,90.0,"(3, 3)",1.0
19,Macro,2000,32,6,9,116.0,395.0,4.0,4.0,90.0,"(3, 3)",1.0
20,Macro,2000,32,6,9,139.0,391.0,4.0,4.0,90.0,"(3, 3)",1.0
21,Macro,2000,32,6,9,89.0,391.5,6.0,5.0,90.0,"(3, 3)",1.2
22,Macro,2000,32,6,9,59.34581756591797,391.2998046875,21.38146209716797,4.98930549621582,1.717902660369873,"(3, 3)",4.285458590055252
23,Macro,2000,32,6,9,59.5,392.0,12.0,5.0,90.0,"(3, 3)",2.4
24,Macro,2000,32,6,9,41.201255798339844,393.9019775390625,18.36098861694336,6.644893646240234,16.9470272064209,"(3, 3)",2.763172684837814
25,Macro,2000,32,6,9,41.0,392.5,13.0,8.0,90.0,"(3, 3)",1.625
26,Macro,2000,32,6,9,78.7272720336914,387.7272644042969,7.106690406799316,6.428243637084961,45.0,"(3, 3)",1.1055415457187017
27,Macro,2000,32,6,9,78.5,387.5,5.0,5.0,90.0,"(3, 3)",1.0
28,Macro,2000,32,6,9,125.0,383.0,4.0,4.0,90.0,"(3, 3)",1.0
29,Macro,2000,32,6,9,114.0,383.5,5.0,4.0,90.0,"(3, 3)",1.25
30,Macro,2000,32,6,9,207.0,382.0,4.0,4.0,90.0,"(3, 3)",1.0
31,Macro,2000,32,6,9,17.556100845336914,384.94805908203125,17.481184005737305,12.484899520874023,108.34654235839844,"(3, 3)",1.4001861990566913
32,Macro,2000,32,6,9,17.621627807617188,386.270263671875,18.741485595703125,11.507928848266602,9.462321281433105,"(3, 3)",1.6285715564296428
33,Macro,2000,32,6,9,183.0,378.0,4.0,4.0,90.0,"(3, 3)",1.0
34,Macro,2000,32,6,9,111.0,377.0,4.0,4.0,90.0,"(3, 3)",1.0
35,Macro,2000,32,6,9,49.887794494628906,381.3915710449219,16.332223892211914,8.112895011901855,141.75112915039062,"(3, 3)",2.013119098454012
36,Macro,2000,32,6,9,49.814605712890625,380.8033752441406,16.00596809387207,7.949984550476074,57.9946174621582,"(3, 3)",2.0133332325675495
37,Macro,2000,32,6,9,303.0,375.0,4.0,4.0,90.0,"(3, 3)",1.0
38,Macro,2000,32,6,9,365.5,374.0,5.0,4.0,90.0,"(3, 3)",1.25
39,Macro,2000,32,6,9,358.0,368.0,4.0,4.0,90.0,"(3, 3)",1.0
40,Macro,2000,32,6,9,68.2825927734375,370.78485107421875,12.613605499267578,7.13816499710083,35.3211784362793,"(3, 3)",1.7670655559784063
41,Macro,2000,32,6,9,68.0,371.0,10.0,8.0,90.0,"(3, 3)",1.25
42,Macro,2000,32,6,9,58.02088165283203,371.49908447265625,15.21088695526123,6.471714019775391,157.10691833496094,"(3, 3)",2.35036451066624
43,Macro,2000,32,6,9,58.0,370.5,9.0,8.0,90.0,"(3, 3)",1.125
44,Macro,2000,32,6,9,290.0,366.0,4.0,4.0,90.0,"(3, 3)",1.0
45,Macro,2000,32,6,9,235.0,366.0,4.0,4.0,90.0,"(3, 3)",1.0
46,Macro,2000,32,6,9,7.0,364.0,4.0,4.0,90.0,"(3, 3)",1.0
47,Macro,2000,32,6,9,347.0,360.0,4.0,4.0,90.0,"(3, 3)",1.0
