 ,Area,Mean,Mode,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,11.736,255,255,255,255,11.867,72.725,88.110,4.196,4.196,4.392,3.402,45.000,1.000,100,1.291,0.775,0.800
2,21.516,255,255,255,255,17.462,306.286,106.291,4.196,6.993,6.659,4.114,87.536,0.887,100,1.619,0.618,0.846
3,7.824,255,255,255,255,10.709,123.074,111.885,2.797,4.196,3.824,2.605,90.000,0.857,100,1.468,0.681,0.800
4,7.824,255,255,255,255,10.709,398.592,118.878,2.797,4.196,3.824,2.605,90.000,0.857,100,1.468,0.681,0.800
5,13.692,255,255,255,255,12.686,388.802,130.067,4.196,4.196,4.904,3.555,120.473,1.000,100,1.380,0.725,0.875
6,11.736,255,255,255,255,13.506,397.193,132.864,2.797,5.594,5.781,2.585,102.933,0.809,100,2.237,0.447,0.857
7,5.868,255,255,255,255,9.550,162.234,137.060,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
8,21.516,255,255,255,255,16.642,44.754,138.458,5.594,5.594,6.852,3.998,142.125,0.976,100,1.714,0.583,0.846
9,9.780,255,255,255,255,13.506,504.883,162.234,2.797,5.594,5.220,2.386,95.152,0.674,100,2.188,0.457,0.769
10,25.428,255,255,255,255,23.395,359.432,176.219,8.391,5.594,8.857,3.656,18.798,0.584,100,2.423,0.413,0.703
11,5.868,255,255,255,255,7.911,330.062,186.009,2.797,2.797,3.307,2.259,135.000,1.000,100,1.464,0.683,0.857
12,19.560,255,255,255,255,18.281,11.189,195.799,4.196,6.993,6.583,3.783,87.021,0.736,100,1.740,0.575,0.800
13,13.692,255,255,255,255,14.664,39.160,211.184,4.196,5.594,5.392,3.233,120.964,0.800,100,1.668,0.600,0.778
14,9.780,255,255,255,255,10.709,469.919,211.184,4.196,2.797,4.398,2.832,161.565,1.000,100,1.553,0.644,0.909
15,15.648,255,255,255,255,12.686,208.387,220.974,4.196,4.196,4.948,4.027,135.000,1.000,100,1.229,0.814,0.941
16,5.868,255,255,255,255,9.550,250.344,227.966,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
17,7.824,255,255,255,255,10.709,451.737,230.764,2.797,4.196,4.464,2.232,71.565,0.857,100,2.000,0.500,0.800
18,9.780,255,255,255,255,12.686,50.348,241.952,5.594,2.797,5.220,2.386,174.848,0.764,100,2.188,0.457,0.769
19,7.824,255,255,255,255,7.911,225.169,247.546,2.797,2.797,3.156,3.156,0.000,1.000,100,1.000,1.000,1.000
20,19.560,255,255,255,255,14.664,244.749,248.945,4.196,5.594,5.749,4.332,90.000,1.000,100,1.327,0.753,0.909
21,7.824,255,255,255,255,7.911,281.112,248.945,2.797,2.797,3.156,3.156,0.000,1.000,100,1.000,1.000,1.000
22,5.868,255,255,255,255,7.911,348.243,251.742,2.797,2.797,3.307,2.259,135.000,1.000,100,1.464,0.683,0.857
23,5.868,255,255,255,255,9.550,399.990,253.141,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
24,11.736,255,255,255,255,10.709,212.582,254.539,2.797,4.196,4.734,3.156,90.000,1.000,100,1.500,0.667,1.000
25,17.604,255,255,255,255,16.642,153.842,257.336,4.196,5.594,5.509,4.069,92.720,0.799,100,1.354,0.739,0.818
26,15.648,255,255,255,255,18.620,62.936,258.735,6.993,5.594,6.732,2.960,32.548,0.567,100,2.274,0.440,0.593
27,5.868,255,255,255,255,7.911,186.009,258.735,2.797,2.797,3.307,2.259,135.000,1.000,100,1.464,0.683,0.857
28,31.296,255,255,255,255,25.034,374.816,261.532,5.594,9.790,9.855,4.043,113.270,0.628,100,2.438,0.410,0.780
29,5.868,255,255,255,255,7.911,43.356,262.931,2.797,2.797,3.307,2.259,135.000,1.000,100,1.464,0.683,0.857
30,11.736,255,255,255,255,11.867,96.501,264.329,4.196,4.196,4.392,3.402,45.000,1.000,100,1.291,0.775,0.800
31,5.868,255,255,255,255,9.550,461.527,269.923,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
32,7.824,255,255,255,255,7.911,457.331,275.518,2.797,2.797,3.156,3.156,0.000,1.000,100,1.000,1.000,1.000
33,9.780,255,255,255,255,10.709,211.184,283.909,2.797,4.196,4.398,2.832,71.565,1.000,100,1.553,0.644,0.909
34,15.648,255,255,255,255,14.664,268.525,293.699,4.196,4.196,4.675,4.262,90.000,0.914,100,1.097,0.912,0.889
35,105.623,255,255,255,255,39.698,81.117,295.098,11.189,13.986,13.635,9.863,75.599,0.842,100,1.382,0.723,0.864
36,5.868,255,255,255,255,9.550,269.923,299.293,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
37,13.692,255,255,255,255,12.686,339.852,306.286,4.196,4.196,4.904,3.555,120.473,1.000,100,1.380,0.725,0.875
38,17.604,255,255,255,255,14.664,50.348,313.279,4.196,5.594,5.154,4.349,82.372,1.000,100,1.185,0.844,0.857
39,15.648,255,255,255,255,13.506,230.764,323.069,2.797,5.594,6.312,3.156,90.000,1.000,100,2.000,0.500,1.000
40,9.780,255,255,255,255,10.709,19.580,324.468,2.797,4.196,4.398,2.832,71.565,1.000,100,1.553,0.644,0.909
41,5.868,255,255,255,255,9.550,481.107,324.468,1.399,4.196,4.734,1.578,90.000,0.809,100,3.000,0.333,1.000
42,33.252,255,255,255,255,21.417,103.494,328.663,5.594,8.391,8.253,5.130,84.996,0.911,100,1.609,0.622,0.829
43,29.340,255,255,255,255,19.100,429.360,330.062,4.196,6.993,7.891,4.734,90.000,1.000,100,1.667,0.600,1.000
44,9.780,255,255,255,255,10.709,437.752,334.258,2.797,4.196,4.398,2.832,71.565,1.000,100,1.553,0.644,0.909
45,9.780,255,255,255,255,10.709,499.288,337.055,2.797,4.196,4.398,2.832,108.435,1.000,100,1.553,0.644,0.909
46,17.604,255,255,255,255,18.620,18.181,341.250,4.196,6.993,6.915,3.241,112.845,0.638,100,2.133,0.469,0.750
47,31.296,255,255,255,255,24.214,321.670,344.048,4.196,9.790,9.454,4.215,85.647,0.671,100,2.243,0.446,0.842
48,64.548,255,255,255,255,32.126,34.964,348.243,11.189,9.790,10.057,8.172,161.515,0.786,100,1.231,0.813,0.815
49,9.780,255,255,255,255,10.709,367.823,348.243,4.196,2.797,4.398,2.832,18.435,1.000,100,1.553,0.644,0.909
50,7.824,255,255,255,255,7.911,220.974,358.033,2.797,2.797,3.156,3.156,0.000,1.000,100,1.000,1.000,1.000
51,46.944,255,255,255,255,24.214,309.083,358.033,6.993,8.391,9.029,6.620,118.058,1.000,100,1.364,0.733,0.889
52,5.868,255,255,255,255,7.911,213.981,360.830,2.797,2.797,3.307,2.259,135.000,1.000,100,1.464,0.683,0.857
53,37.164,255,255,255,255,26.192,193.002,362.229,8.391,8.391,9.463,5.001,135.253,0.681,100,1.892,0.528,0.776
54,7.824,255,255,255,255,10.709,363.627,362.229,2.797,4.196,3.824,2.605,90.000,0.857,100,1.468,0.681,0.800
55,9.780,255,255,255,255,11.867,37.761,366.425,4.196,4.196,3.529,3.529,0.000,0.873,100,1.000,1.000,0.714
56,37.164,255,255,255,255,25.373,53.146,366.425,9.790,6.993,8.932,5.297,24.752,0.725,100,1.686,0.593,0.776
57,7.824,255,255,255,255,7.911,151.045,366.425,2.797,2.797,3.156,3.156,0.000,1.000,100,1.000,1.000,1.000
58,41.076,255,255,255,255,23.395,132.864,367.823,6.993,8.391,9.377,5.577,123.861,0.943,100,1.681,0.595,0.857
59,11.736,255,255,255,255,13.506,6.993,369.222,2.797,5.594,5.781,2.585,77.067,0.809,100,2.237,0.447,0.857
60,48.900,255,255,255,255,28.170,67.131,372.019,6.993,11.189,10.233,6.084,108.837,0.774,100,1.682,0.595,0.833
61,46.944,255,255,255,255,28.989,443.346,373.417,5.594,11.189,11.484,5.205,79.601,0.702,100,2.207,0.453,0.873
62,17.604,255,255,255,255,18.620,4.196,380.410,5.594,6.993,6.851,3.271,60.482,0.638,100,2.094,0.477,0.667
63,21.516,255,255,255,255,22.237,338.453,380.410,6.993,6.993,7.698,3.559,51.204,0.547,100,2.163,0.462,0.611
64,5.868,255,255,255,255,7.911,81.117,383.207,2.797,2.797,3.307,2.259,45.000,1.000,100,1.464,0.683,0.857
65,9.780,255,255,255,255,11.867,188.807,387.403,4.196,4.196,3.529,3.529,0.000,0.873,100,1.000,1.000,0.714
66,9.780,255,255,255,255,10.709,4.196,394.396,2.797,4.196,4.398,2.832,108.435,1.000,100,1.553,0.644,0.909
67,58.680,255,255,255,255,34.923,83.914,394.396,8.391,11.189,9.637,7.752,94.744,0.605,100,1.243,0.804,0.732
68,95.844,255,255,255,255,37.720,174.821,395.795,11.189,12.587,11.819,10.325,142.261,0.846,100,1.145,0.874,0.852
69,19.560,255,255,255,255,15.823,47.551,397.193,5.594,5.594,5.560,4.480,135.000,0.982,100,1.241,0.806,0.800
