,Type,Reynolds,Toil,Tcool,Time,Island,AR
0,Micro,5000,47,6,120,Outside,2.0
1,Micro,5000,47,6,120,Outside,1.0
2,Micro,5000,47,6,120,Outside,1.0
3,Micro,5000,47,6,120,Outside,1.0
4,Micro,5000,47,6,120,Outside,2.0
5,Micro,5000,47,6,120,Outside,1.0
6,Micro,5000,47,6,120,Outside,2.0
7,Micro,5000,47,6,120,Outside,1.25
8,Micro,5000,47,6,120,Outside,1.4
9,Micro,5000,47,6,120,Outside,1.2
10,Micro,5000,47,6,120,Outside,1.1666666666666667
11,Micro,5000,47,6,120,Outside,1.0
12,Micro,5000,47,6,120,Outside,1.1666666292027996
13,Micro,5000,47,6,120,Outside,1.4000000852992318
14,Micro,5000,47,6,120,Outside,1.6666666666666667
15,Micro,5000,47,6,120,Outside,1.3333333333333333
16,Micro,5000,47,6,120,Outside,2.0
17,Micro,5000,47,6,120,Outside,1.0
18,Micro,5000,47,6,120,Outside,1.4
19,Micro,5000,47,6,120,Outside,1.0
20,Micro,5000,47,6,120,Outside,1.0
21,Micro,5000,47,6,120,Outside,1.3333332584055992
22,Micro,5000,47,6,120,Outside,2.611110901391073
23,Micro,5000,47,6,120,Outside,2.0
24,Micro,5000,47,6,120,Outside,1.0
25,Micro,5000,47,6,120,Outside,1.1999999147007772
26,Micro,5000,47,6,120,Outside,1.9473683959907229
27,Micro,5000,47,6,120,Outside,1.2857142306653364
28,Micro,5000,47,6,120,Outside,2.0
29,Micro,5000,47,6,120,Outside,1.0
30,Micro,5000,47,6,120,Outside,2.1666666666666665
31,Micro,5000,47,6,120,Outside,2.99999978509242
32,Micro,5000,47,6,120,Outside,1.0
33,Micro,5000,47,6,120,Outside,1.3333332584055992
34,Micro,5000,47,6,120,Outside,1.3333333333333333
35,Micro,5000,47,6,120,Outside,1.3333332584055992
36,Micro,5000,47,6,120,Outside,1.3333333333333333
37,Micro,5000,47,6,120,Outside,1.3333333333333333
38,Micro,5000,47,6,120,Outside,2.0
39,Micro,5000,47,6,120,Outside,1.3333332584055992
40,Micro,5000,47,6,120,Outside,3.000000168587411
41,Micro,5000,47,6,120,Outside,2.0
42,Micro,5000,47,6,120,Outside,1.3749998939763788
43,Micro,5000,47,6,120,Outside,1.0
44,Micro,5000,47,6,120,Outside,1.6666667851378179
45,Micro,5000,47,6,120,Outside,1.25
46,Micro,5000,47,6,120,Outside,1.3333332584055992
47,Micro,5000,47,6,120,Outside,1.8163264809766995
48,Micro,5000,47,6,120,Outside,1.0
49,Micro,5000,47,6,120,Outside,1.0
50,Micro,5000,47,6,120,Outside,1.0
51,Micro,5000,47,6,120,Outside,1.6041666905201626
52,Micro,5000,47,6,120,Outside,1.25
53,Micro,5000,47,6,120,Outside,1.4444443786271421
