,Type,Reynolds,Toil,Tcool,Time,N_of_crystals,Parent(%),Child(%),No Parent/Child(%)
0,Micro,1000,47,6,1,964,5.38,70.37,24.25
1,Micro,1000,47,6,23,93,8.06,41.94,50.0
2,Micro,1000,47,6,33,120,8.23,66.46,25.32
3,Micro,1000,47,6,43,374,6.35,71.68,21.97
4,Micro,2000,47,6,120,1185,9.01,56.78,34.21
5,Micro,2000,47,6,13,651,5.46,70.22,24.33
6,Micro,2000,47,6,15,231,2.41,79.64,17.95
7,Micro,2000,47,6,1,1007,9.78,24.58,65.65
8,Micro,2000,47,6,23,2195,4.89,74.64,20.47
9,Micro,2000,47,6,31,74,7.89,43.42,48.68
